"nest1","nest2","weight","site_comb","site_same_other","site_same_semi_other","dyad_ID","spatial","spatial_z","spatial_weight","prospect_weight","spatial_weight_z","prospect_weight_z","year","nest1_anthro","nest2_anthro","anthro","anthro_binary"
"Z45","Z03",0.6,"ZZ","same","same","Z03_Z45",217.589100454846,1.21780224159435,0.417684917253102,0,-1.21756519979326,NA,"2024",1,1,2,1
"Z06","Z05",0.625,"ZZ","same","same","Z05_Z06",12.7578196101509,-1.34315071741379,0.974004460014083,0,1.34288927688238,NA,"2024",0,1,1,0
"Z07","Z05",0.714285714285714,"ZZ","same","same","Z05_Z07",21.4047511324116,-1.23504035078935,0.950519487548393,0,1.2347999536385,NA,"2024",0,1,1,0
"Z08","Z05",0.75,"ZZ","same","same","Z05_Z08",36.4216101276783,-1.04728841504817,0.90973386098051,0,1.04708456328662,NA,"2024",1,1,2,1
"Z10","Z05",0.714285714285714,"ZZ","same","same","Z05_Z10",68.2416489385946,-0.649450632593661,0.823310979822297,0,0.649324218844026,NA,"2024",1,1,2,1
"Z11","Z05",0.625,"ZZ","same","same","Z05_Z11",75.4914586462436,-0.55880812161348,0.803620575090017,0,0.558699351175153,NA,"2024",1,1,2,1
"Z13","Z05",0.5,"ZZ","same","same","Z05_Z13",98.9007923109851,-0.266127228002394,0.740041078115713,0,0.266075427081611,NA,"2024",1,1,2,1
"Z14","Z05",0.625,"ZZ","same","same","Z05_Z14",82.4022338891522,-0.472404471573397,0.784850984296051,0,0.472312519363947,NA,"2024",1,1,2,1
"Z15","Z05",0.625,"ZZ","same","same","Z05_Z15",86.7031869087345,-0.418630759293555,0.773169642425692,0,0.418549273986838,NA,"2024",1,1,2,1
"Z16","Z05",0.5,"ZZ","same","same","Z05_Z16",93.4834529408821,-0.333858832436072,0.754754513236209,0,0.333793847747877,NA,"2024",1,1,2,1
"Z17","Z05",0.444444444444444,"ZZ","same","same","Z05_Z17",105.436230657315,-0.184416318895016,0.722290898272188,0,0.18438042277421,NA,"2024",1,1,2,1
"Z18","Z05",0.428571428571428,"ZZ","same","same","Z05_Z18",95.6550322378092,-0.306708133562091,0.748856527359474,0,0.306648433681514,NA,"2024",0,1,1,0
"Z19","Z05",0.571428571428571,"ZZ","same","same","Z05_Z19",93.8361334433543,-0.329449358586834,0.753796636807048,0,0.329385232190394,NA,"2024",0,1,1,0
"Z20","Z05",0.714285714285714,"ZZ","same","same","Z05_Z20",97.2654393610107,-0.286573626418635,0.74448267903541,0,0.286517845663573,NA,"2024",1,1,2,1
"Z21","Z05",0.5,"ZZ","same","same","Z05_Z21",96.6594320897833,-0.294150379871673,0.746128588227837,0,0.294093124322736,NA,"2024",1,1,2,1
"Z22","Z05",0.857142857142857,"ZZ","same","same","Z05_Z22",115.386654207583,-0.0600087258293572,0.69526565556055,0,0.0599970452986712,NA,"2024",1,1,2,1
"Z23","Z05",0.555555555555556,"ZZ","same","same","Z05_Z23",107.397068208549,-0.159900470005827,0.716965284696797,0,0.159869345826456,NA,"2024",1,1,2,1
"Z24","Z05",0.571428571428571,"ZZ","same","same","Z05_Z24",104.838110065707,-0.191894467215945,0.723915387328094,0,0.191857115494479,NA,"2024",0,1,1,0
"Z26","Z05",0.625,"ZZ","same","same","Z05_Z26",120.120499651102,-0.000822670622982124,0.682408582550123,0,0.00082251049244566,NA,"2024",1,1,2,1
"Z27","Z05",0.714285714285714,"ZZ","same","same","Z05_Z27",161.101848368677,0.511556619442552,0.571103682799113,0,-0.511457046376997,NA,"2024",0,1,1,0
"Z28","Z05",0.714285714285714,"ZZ","same","same","Z05_Z28",161.573815123372,0.517457498702809,0.569821826199442,0,-0.517356777047606,NA,"2024",1,1,2,1
"Z29","Z05",1,"ZZ","same","same","Z05_Z29",162.501867401806,0.529060698266711,0.567301246251556,0,-0.528957718081158,NA,"2024",1,1,2,1
"Z30","Z05",0.714285714285714,"ZZ","same","same","Z05_Z30",163.912438579942,0.546696707852949,0.56347015019232,0,-0.546590294867444,NA,"2024",1,1,2,1
"Z31","Z05",0.714285714285714,"ZZ","same","same","Z05_Z31",167.546980529761,0.592138453482056,0.553598773577719,0,-0.592023195387829,NA,"2024",1,1,2,1
