"from","to","trial","spatial_weight","prospect_weight"
"Y29","Y18",1,0.517319985552358,0
"Y29","Y19",1,0.433147283643411,0
"Y29","Y21",1,0.498130095747464,0
"Y29","Y22",1,0.518269318017334,0
"Y29","Y23",1,0.731403478265426,0
"Y29","Y26",1,0.872781093201687,0
"Y29","Y27",1,0.949921003826799,0
"Y29","Y28",1,0.97677570123853,0
"Y29","Y30",1,0.964371525462274,0
"Y29","Y31",1,0.91980388300605,0
"Y29","Y33",1,0.828393942894255,0
"Y29","Y35",1,0.80467124636847,0
"Y30","Y01",1,0.236472510099393,0
"Y30","Y02",1,0.245353614733405,0
"Y30","Y03",1,0.238039226755339,0
"Y30","Y04",1,0.219212622352999,0
"Y30","Y05",1,0.19673070408801,0
"Y30","Y06",1,0.181090389176283,0
"Y30","Y07",1,0.15632832204527,0
"Y30","Y08",1,0.12459383737753,0
"Y30","Y09",1,0.0973751913419584,0
"Y30","Y10",1,0.104441041507297,0
"Y30","Y11",1,0.304949500348288,0
"Y30","Y12",1,0.383247919200152,0
"Y30","Y14",1,0.429316188515162,0
